0.5     77.4375  75.3478     1.49475
0.6     45.0187  42.9394     1.08542
0.7     28.3193  24.3063    0.626258
0.8     15.9326  15.0789    0.310029
0.9     9.69929  10.1721    0.174201
1       6.00334  7.32197     0.10525
1.1     4.98481  5.59584     0.07086
1.2     3.99535   4.4224   0.0373623
1.3     3.24459  3.60919   0.0262809
1.4     2.77689  2.98756   0.0206448
1.5     2.45847  2.52518   0.0148009
1.6     2.13965  2.18712    0.011248
1.7     1.83979  1.89913   0.0120206
1.8     1.63365  1.6805    0.00965374
1.9      1.4614  1.49617   0.00739422
2       1.32296  1.34843   0.00544128


