   0.0115332	0	0
   0.0345996	0	0
   0.0576661	0	0
   0.0807325	0	0
    0.103799	0	0
    0.126865	0	0
    0.149932	0	0
    0.172998	0	0
    0.196065	0	0
    0.219131	0	0
    0.242198	0	0
    0.265264	0	0
     0.28833	0	0
    0.311397	0	0
    0.334463	0	0
     0.35753	0	0
    0.380596	0	0
    0.403663	0	0
    0.426729	0	0
    0.449795	0	0
    0.472862	0	0
    0.495928	0	0
    0.518995	0	0
    0.542061	0	0
    0.565128	0	0
    0.588194	0	0
     0.61126	0	0
    0.634327	0	0
    0.657393	0	0
     0.68046	0	0
    0.703526	0	0
    0.726593	0	0
    0.749659	0	0
    0.772725	0	0
    0.795792	0	0
    0.818858	0	0
    0.841925	0	0
    0.864991	0	0
    0.888058	5.99434e-05	1.43797e-05
    0.911124	0.00264306	0.000105713
     0.93419	0.0425507	0.000466656
    0.957257	0.277092	0.00108652
    0.980323	0.990661	0.00186331
     1.00339	2.2313	0.00299936
     1.02646	3.63245	0.00377285
     1.04952	4.64148	0.00418106
     1.07259	4.90888	0.00449928
     1.09566	4.50528	0.00434081
     1.11872	3.66382	0.0038133
     1.14179	2.69719	0.00290271
     1.16485	1.81994	0.00232265
     1.18792	1.12992	0.00228921
     1.21099	0.65001	0.00168391
     1.23405	0.348221	0.00128961
     1.25712	0.174182	0.000905487
     1.28019	0.0850625	0.000713734
     1.30325	0.0468266	0.000552068
     1.32632	0.0401232	0.000569923
     1.34939	0.0585691	0.000677691
     1.37245	0.104	0.000913648
     1.39552	0.183968	0.00129707
     1.41859	0.300146	0.00132236
     1.44165	0.453048	0.0012112
     1.46472	0.62843	0.00125798
     1.48778	0.796506	0.0017611
     1.51085	0.924877	0.00234185
     1.53392	0.975269	0.002363
     1.55698	0.931232	0.00235717
     1.58005	0.808774	0.00170311
     1.60312	0.642886	0.00120591
     1.62618	0.466321	0.000982336
     1.64925	0.314711	0.00114568
     1.67232	0.216161	0.00113506
     1.69538	0.187211	0.00121442
     1.71845	0.250672	0.00140047
     1.74152	0.429821	0.00187905
     1.76458	0.744826	0.00209261
     1.78765	1.19765	0.00175433
     1.81071	1.72894	0.00182669
     1.83378	2.23959	0.00254363
     1.85685	2.60367	0.00309336
     1.87991	2.72148	0.00361819
     1.90298	2.56193	0.00341912
     1.92605	2.18499	0.00242146
     1.94911	1.69251	0.00168706
     1.97218	1.1975	0.00146676
     1.99525	0.798809	0.00167662
     2.01831	0.538915	0.00165372
     2.04138	0.430339	0.001653
     2.06445	0.461872	0.00156312
     2.08751	0.587201	0.00120258
     2.11058	0.758745	0.000971271
     2.13364	0.915081	0.00119841
     2.15671	1.00845	0.00145677
     2.17978	1.00934	0.00150414
     2.20284	0.926682	0.00117452
     2.22591	0.793259	0.000989778
     2.24898	0.657447	0.00134642
     2.27204	0.569827	0.00183342
     2.29511	0.56886	0.00202355
