           1        1.65        1.65	0
           2        1.65        1.65	0
           3        1.65        1.65	0
           4        1.65        1.65	0
           5        1.65        1.65	9.42432e-09
           6        1.65        1.65	0
           7        1.65        1.65	0
           8        1.65        1.65	0
           9        1.65        1.65	0
          10        1.65        1.65	6.664e-09
          11        1.65        1.65	0
          12        1.65        1.65	0
          13        1.65        1.65	5.84472e-09
          14        1.65        1.65	5.63211e-09
          15        1.65        1.65	7.69493e-09
          16        1.65        1.65	7.45058e-09
          17        1.65        1.65	7.22812e-09
          18        1.65        1.65	8.60319e-09
          19        1.65        1.65	8.37373e-09
          20        1.65        1.65	6.664e-09
          21        1.65        1.65	6.5034e-09
          22        1.65        1.65	0
          23        1.65        1.65	4.39411e-09
          24        1.65        1.65	6.08337e-09
          25        1.65        1.65	5.96046e-09
          26        1.65        1.65	7.15829e-09
          27        1.65        1.65	7.02447e-09
          28        1.65        1.65	7.96501e-09
          29        1.65        1.65	7.82647e-09
          30        1.65        1.65	7.69493e-09
          31        1.65        1.65	8.46329e-09
          32        1.65        1.65	8.33e-09
          33        1.65        1.65	8.20282e-09
          34        1.65        1.65	9.56191e-09
          35        1.65        1.65	9.42432e-09
          36        1.65        1.65	9.29251e-09
          37        1.65        1.65	9.16607e-09
          38        1.65        1.65	9.04466e-09
          39        1.65        1.65	8.26568e-09
          40        1.65        1.65	8.1617e-09
          41        1.65        1.65	8.06155e-09
          42        1.65        1.65	7.96501e-09
          43        1.65        1.65	9.08962e-09
          44        1.65        1.65	8.98574e-09
          45        1.65        1.65	8.88534e-09
          46        1.65        1.65	8.78823e-09
          47        1.65        1.65	8.69423e-09
          48        1.65        1.65	9.12506e-09
          49        1.65        1.65	9.03147e-09
          50        1.65        1.65	9.42432e-09
          51        1.65        1.65	9.33147e-09
          52        1.65        1.65	8.76707e-09
          53        1.65        1.65	8.68397e-09
          54        1.65        1.65	8.60319e-09
          55        1.65        1.65	8.52462e-09
          56        1.65        1.65	8.44816e-09
          57        1.65        1.65	8.37373e-09
          58        1.65        1.65	8.30123e-09
          59        1.65        1.65	9.09925e-09
          60        1.65        1.65	9.0231e-09
          61        1.65        1.65	8.94884e-09
          62        1.65        1.65	8.87637e-09
          63        1.65        1.65	8.80565e-09
          64        1.65        1.65	8.73658e-09
          65        1.65        1.65	8.66912e-09
          66        1.65        1.65	8.60319e-09
          67        1.65        1.65	8.53875e-09
          68        1.65        1.65	8.47573e-09
          69        1.65        1.65	8.41409e-09
          70        1.65        1.65	8.35377e-09
          71        1.65        1.65	8.29473e-09
          72        1.65        1.65	8.95448e-09
          73        1.65        1.65	8.89294e-09
          74        1.65        1.65	8.83265e-09
          75        1.65        1.65	8.77357e-09
          76        1.65        1.65	8.71565e-09
          77        1.65        1.65	8.65887e-09
          78        1.65        1.65	7.91378e-09
          79        1.65        1.65	7.86354e-09
          80        1.65        1.65	7.81423e-09
          81        1.65        1.65	7.76585e-09
          82        1.65        1.65	7.71835e-09
          83        1.65        1.65	7.67171e-09
          84        1.65        1.65	7.62591e-09
          85        1.65        1.65	7.58092e-09
          86        1.65        1.65	7.87184e-09
          87        1.65        1.65	7.82647e-09
          88        1.65        1.65	7.78188e-09
          89        1.65        1.65	7.73804e-09
          90        1.65        1.65	7.69493e-09
          91        1.65        1.65	7.65253e-09
          92        1.65        1.65	7.61083e-09
          93        1.65        1.65	7.5698e-09
          94        1.65        1.65	7.52942e-09
          95        1.65        1.65	7.48969e-09
          96        1.65        1.65	7.45058e-09
          97        1.65        1.65	7.41208e-09
          98        1.65        1.65	7.37416e-09
          99        1.65        1.65	7.33682e-09
         100        1.65        1.65	7.30005e-09
