           1           0       -0.98-0.98           0
           2           0       -0.98-0.98           0
           3           0       -0.98-0.98        -nan
           4           0       -0.98-0.98           0
           5           0       -0.98-0.98           0
           6           0       -0.98-0.98 4.71216e-09
           7           0       -0.98-0.98 7.45058e-09
           8           0       -0.98-0.98  6.8979e-09
           9           0       -0.98-0.98           0
          10           0       -0.98-0.98           0
          11           0       -0.98-0.98        -nan
          12           0       -0.98-0.98        -nan
          13           0       -0.98-0.98        -nan
          14           0       -0.98-0.98        -nan
          15           0       -0.98-0.98        -nan
          16           0       -0.98-0.98        -nan
          17           0       -0.98-0.98        -nan
          18           0       -0.98-0.98        -nan
          19           0       -0.98-0.98        -nan
          20           0       -0.98-0.98        -nan
