           1           0       -1.02-1.02           0
           2           0       -1.02-1.02           0
           3           0       -1.02-1.02           0
           4           0       -1.02-1.02           0
           5           0       -1.02-1.02           0
           6           0       -1.02-1.02        -nan
           7           0       -1.02-1.02        -nan
           8           0       -1.02-1.02        -nan
           9           0       -1.02-1.02        -nan
          10           0       -1.02-1.02 4.96705e-09
          11           0       -1.02-1.02 4.71216e-09
          12           0       -1.02-1.02 4.49287e-09
          13           0       -1.02-1.02 4.30159e-09
          14           0       -1.02-1.02 4.13284e-09
          15           0       -1.02-1.02  3.9825e-09
          16           0       -1.02-1.02 3.84746e-09
          17           0       -1.02-1.02 3.72529e-09
          18           0       -1.02-1.02 5.11106e-09
          19           0       -1.02-1.02 4.96705e-09
          20           0       -1.02-1.02 4.83458e-09
